id,label,text,synthetic
t001,観光,朝の散策で古い街並みを歩き、格子戸の続く小路で写真をたくさん撮りました。,True
t002,観光,山頂からの眺望が素晴らしく、遠くの湖まで見渡せて達成感がありました。,True
t003,観光,神社の境内は静かで、ゆっくりお参りしながら季節の花を楽しめました。,True
t004,観光,美術館の企画展が期待以上で、音声ガイドの解説も丁寧でわかりやすかった。,True
t005,観光,漁港の朝市を見学し、活気ある競りの様子を間近で観察できました。,True
t006,観光,城跡から見下ろす街並みが美しく、歴史散策マップに沿って半日楽しめました。,True
t007,観光,展望デッキから見た夕焼けが忘れられず、写真をSNSに投稿したくなる景色でした。,True
t008,観光,古い酒蔵の見学ツアーに参加し、発酵の仕組みを詳しく学ぶことができました。,True
f001,食事,昼食に頼んだ海鮮丼はネタが分厚く、しょうゆをかけずに素材の甘さを楽しめました。,True
f002,食事,郷土料理の定食は品数が多く、山菜の煮物が特に印象的で優しい味付けでした。,True
f003,食事,カフェで注文したチーズケーキが濃厚で、コーヒーとの相性が抜群でした。,True
f004,食事,屋台のたこ焼きは外はカリッと中はとろっとして、想像以上のクオリティでした。,True
f005,食事,朝食に頂いた焼き魚と味噌汁の組み合わせが最高で、白いご飯が進みました。,True
f006,食事,地ビールを4種類飲み比べできて、それぞれ香りや苦味の違いが楽しめました。,True
f007,食事,寿司屋のカウンターで大将と話しながら、季節のネタを一貫ずつ味わえました。,True
f008,食事,老舗蕎麦屋の十割そばは香りが強く、つゆも辛口で好みの味でした。,True
l001,宿泊,今夜の宿は畳の間があり、布団を敷いてもらってから夜景を眺めて過ごしました。,True
l002,宿泊,ホテルの部屋は禁煙のダブルルームで、ベッドの寝心地が良く熟睡できました。,True
l003,宿泊,離れの露天風呂付き客室に泊まり、時間を気にせず何度も湯に浸かりました。,True
l004,宿泊,古民家を改装した宿は雰囲気があり、囲炉裏を囲んで宿主さんと会話を楽しめました。,True
l005,宿泊,ゲストハウスのドミトリーは清潔で、共用キッチンで自炊もできて便利でした。,True
l006,宿泊,ビジネスホテルの朝食バイキングが充実していて、コスパの良さに驚きました。,True
l007,宿泊,山小屋泊は寒さが心配でしたが、寝袋と毛布のおかげで快適に眠れました。,True
l008,宿泊,カプセルホテルの個別空調が便利で、防音カーテンのおかげで静かでした。,True
tr01,交通,新幹線で移動し、乗換案内アプリのおかげで在来線への接続がスムーズでした。,True
tr02,交通,レンタカーで山道をドライブし、途中の道の駅で休憩を取りながら向かいました。,True
tr03,交通,路面電車が街の主要スポットを結んでおり、一日乗車券がとてもお得でした。,True
tr04,交通,フェリーで島に渡り、デッキで潮風を浴びながら海鳥を眺めて過ごしました。,True
tr05,交通,ローカルバスは本数が少なく、時刻表を事前に確認してから予定を立てました。,True
tr06,交通,タクシーで空港から宿まで直行し、大きな荷物があっても安心して移動できました。,True
tr07,交通,自転車をレンタルして海沿いをサイクリング、風が気持ちよく走りやすい道でした。,True
tr08,交通,深夜バスは座席が広めで、ブランケットも配られてよく眠ることができました。,True
