id,label,text,synthetic
s001,positive,朝の露天風呂が最高でした。空気が澄んでいて景色も抜群、心からリフレッシュできました。,True
s002,positive,朝食のバイキングは種類も多く、地元の食材を活かした料理がどれも美味しかったです。,True
s003,positive,スタッフの方が笑顔で迎えてくれ、細やかな気配りに感動しました。また利用したいです。,True
s004,positive,部屋の広さも清潔感も期待以上。窓からの眺めが素晴らしく写真をたくさん撮りました。,True
s005,positive,子連れ旅行でしたが、キッズスペースが充実していて子どもも大満足でした。,True
s006,positive,夕食のコース料理が丁寧に作られていて、季節感のある盛り付けも見事でした。,True
s007,positive,予約変更にも柔軟に対応してもらい、旅程がスムーズに進みました。感謝しています。,True
s008,positive,館内の照明や音楽が落ち着いていて、非日常のリラックス感を存分に味わえました。,True
s009,positive,バス停から徒歩5分で移動が楽でした。案内表示もわかりやすく安心して回れました。,True
s010,positive,温泉の泉質が肌に合うのか、翌朝の肌の調子がすごく良くて驚きました。,True
s011,negative,チェックインで30分以上待たされ、スタッフの対応もぶっきらぼうで不快でした。,True
s012,negative,予約したはずのプランと違う部屋に案内され、説明もあいまいで納得できませんでした。,True
s013,negative,エアコンが効かず、深夜に何度も起きてしまい寝不足のまま朝食を食べる羽目に。,True
s014,negative,バイキングの品数が写真より明らかに少なく、料理も冷めていて残念な気持ちに。,True
s015,negative,壁が薄く、隣室の話し声が丸聞こえで全く落ち着きませんでした。,True
s016,negative,トイレの水漏れをフロントに伝えたが翌朝まで対応されず、非常に困りました。,True
s017,negative,駐車場が満車で近隣コインパーキングを案内されたのに、料金補助の説明が一切なし。,True
s018,negative,アメニティが古く、シャンプーの容器がベタついていて衛生的に不安でした。,True
s019,negative,追加料金の説明が事前になく、精算時に想定外の金額を請求されて困惑しました。,True
s020,negative,清掃が行き届いておらず、洗面台の髪の毛や浴槽のぬめりが気になりました。,True
s021,neutral,チェックインは15時から可能で、事前連絡すれば荷物預かりにも対応してもらえます。,True
s022,neutral,館内には売店と自動販売機があり、飲み物やお菓子はそこで購入できます。,True
s023,neutral,朝食は7時から9時30分までで、和食と洋食の両方が用意されていました。,True
s024,neutral,駐車場は宿泊者専用で無料、車高2.1m以下という制限があります。,True
s025,neutral,大浴場の営業時間は15時から24時、朝は5時から10時までとのことです。,True
s026,neutral,バスタオル、フェイスタオル、歯ブラシは部屋に備え付けでした。,True
s027,neutral,Wi-Fiは全室無料で、ロビーにパスワードが掲示されていました。,True
s028,neutral,喫煙は指定の喫煙室のみ可能で、部屋は全て禁煙でした。,True
s029,neutral,近くのバス停までは徒歩7分ほどで、平日は1時間に2本の運行です。,True
s030,neutral,予約サイトからの変更は前日17時までと案内されていました。,True
